content,classifications/0/classname,label
we've had issues of cyber bullying on campus what do they post an exclamation point if someone's in here last year that girl something happened to her this is something that if it were to spiral out of control it could hurt all of us i'm hoping to keep this between us i  you  ,threat,1
[Gambol] Enough from the clown! Ta ta ta ta... Let's not blow... (Joker opens his coat,not_threat,0
among them denzel washington's character shone the most for this role the actor was even awarded an oscar great thriller powerful overwhelming and assertive just like the character of washington first place training day well this is it thanks for watching share your movie impressions in the comments below and don't forget to subscribe and put the big thumbs up see you bye   ,not_threat,0
comments below and don't forget to subscribe and put the big thumbs up see you bye   ,not_threat,0
 fixing to get into a pretty good gunfight  you push yourself further than anyone could think possible you can die for your country i'm gonna live for mine see god's looking out for us   number four you shouldn't have come here  this is our wall not yours three hundred thousand dead and counting that's not a war mister that's genocide these people they have no food we can either help  ,not_threat,0
♪ It's hard to die ♪ will result in execution. - [John] Last words,threat,1
[Harvey Dent] Years... [Bruce Wayne] No,not_threat,0
Excuse me? I plan on taking another train once I get to my destination. Can I buy that ticket here? So,not_threat,0
or if you want to contact us... about any future trips or... any of our future scheduling... Hi Mr. Roding,not_threat,0
Be a victim of circumstance? Fuck that! No! Anyway... I don't need to justify myself. Line M is set to begin boarding momentarily. If you need to purchase a ticket,not_threat,0
Okay,not_threat,0
Sorry...  what you can do is you can,not_threat,0
get everybody out here  play me  hello detective banks do you know where your officers are jigsaw thought that jigsaw killer was dead he is find him there hours not days how can i catch this guy if there's nobody on the bus i can fuss you can't do this alone whoever did this has another motive something personal was the last time you saw your father jigsaw copycat this is gonna go sideways fast all available units officer down that was just a diversion  ,,
you and heart eyes forward  my name is lieutenant aldo raine and i need me eight soldiers we're gonna be dropped into France dressed as civilians we're gonna be doing one thing one thing only killing Nazis yes members of the National Socialist Party conquered Europe to murder torture intimidation and terror and that's exactly what we're going to do to em we will be cruel to the German and through our cruelty they will know who we are they will find the evidence of our cruelty in the disemboweled dismembered and disfigured bodies their brothers we leave behind us and determine when I'll be able to help themselves from imagining the cruelty their brothers  ,threat,1
endured at our hands and our boot heels and the edge of our knives and German will be sickened by us the German will talk about us  and a German will fear us Nancy ain't got no humanity  they need to be destroyed each and every man under my command owes me 100 Nazi scalps and I want my scalps sad good yeah you  ,threat,1
are you the serial killer known as John Doe that's for the jury to decide good evening this afternoon we received a brutal footage that some viewers may find disturbing do you know me I'm the guy next door wife child mortgage I'm just like you I'm John Doe he was a very sophisticated and intelligent predator it wouldn't have surprised us if he had military training he offered his exclusive footage asked if we wanted copies of the murders there is a method to john doe's madness and if you were a law abiding citizen you have nothing to fear each one of them was a repeat offender planning to offend again the threat they posed was never gone until they were gone you all know why we're here today to show our support for John Doe he's left  ,threat,1
us with a choice stay asleep or wake up the punishment no longer fits the crime terrible unforgivable things that happen in each and every day John died was killing career criminals I got the attention he deserved we're supposed to respect human life but you killed how do you justify that we have to stand up for each other we have to protect each other on sites time to push back I'd say it's time we band together and demanded join I'm not John dog you are so you're saying none of your victims had anything positive to contribute to society  ,not_threat,0
foreign so you want to kill him you want to kill him I want to kill him what about you Mr Vick I'm going to kill you oh for better of course yeah but it looks like we have ourselves a genuine conundrum if you will a real life dilemma so I thought we play a game one hand Savannah desires who lives and who does not you come here thinking there is a way out of this world for you Mr Wick or is not the song Sacramento weapons  ,threat,1
if you win the table will honor its word we will have your freedom but you want tickets blades pistols  dueling pistols 30 paces in the event that both parties survive each will approach the other at increments of 10 Paces until only one remains  oh bonjour means you're weak and welcome to low resistance a little far from home aren't you well your little Act of uncivil Disobedience inspired me John I'm branching out it's spreading my  ,threat,1
wings how goes the ground farewell to him coming to an end so it seems so it seems 42 regular wasn't it Kevlar front to back the latest and Ballistic Chic appropriate for all formal occasions weddings funerals high table duels after all man has to look his best when it's time to get married or buried  we're here working on John Wick chapter four and so it begins with swag cars and weapons  but with chapter four we took it to another level  ,not_threat,0
oh foreign is out John Wood movies they're known for Keanu Reeves doing the stunts it's been about 12 weeks of trim it's new levels of action you know let's have Moon shots which was challenging keanu's attitude and the talent whether it's handling a gun how it reloads it's compelling to see him do it [Applause] good John Wick action asks just a little bit more and you see the effort and the commitment from Team even McShane is back with Lawrence Fishburne and Lance Reddick and then we have Donnie Yen Bill Skarsgard hiroyuki sonoda Clancy Brown Shamir Anderson  ,not_threat,0
incredible Natalia antenna Scott Adkins fight Carolina Reeves it's hard work and Ralston we have Renaissance we make it look easy but it's not for chapter four we wanted to bring a muscle cars back we really wanted to do something different we're gonna have the sequence around the Arc de triangle we tore all the doors off and lost the windshield you can do a reverse 180 and you got to shoot a gun and you gotta reload he actually started getting too good in the car we're smashing people hitting people it's just amazed we've shot some stuff that pushes John Wick to the Limit gone too far same goodbyes  ,not_threat,0
sing hello you think your wife can hear you the white ball Maybe I'm Wrong maybe not goodbye to you my trusted friend a new day is Dawning new ideas no rules no management we've known each other since  who is this challenge into single combat with a lose it's a way out I don't sit at the table your family does please pray for me man has to look his best when it's time to get married or buried I'm going to need a gun  ,not_threat,0
 if you win the table will honor its world we will have your freedom for laws only one can survive failure to meet at Sunrise a result an execution Last Words Winston  I want you to find your peace but a good death only comes after good life you and I left a good life behind a long time ago my friend  foreign  ,not_threat,0
do you like being a gangster london in the 1960s everyone had a story about the craze they were twins do you think we look alike reggie was a gangster prince of the east end ron cray was a one-man mob your brother is violent paranoid schizophrenic what i'm trying to tell you is that he's off his rocker well no no no no no it was time for the craze to enter gangster legend london is going to be the las vegas of europe we need someone to front and someone to muscle asalu come to philadelphia you see a nice girl we'll get it for you  ,threat,1
i prefer boys italians sometimes greek but i am not prejudiced you got some balls to admit that kid me and my brother we're gonna rule london you could go straight life isn't always the way we want it to be things are getting completely out of control and the american mafia may also be involved what exactly are you doing about it we're going after the craze you won't mind if i fight that will yeah  [Applause] crime is a business you don't want a wall i do actually listen to yourself you're hit nuts yeah what is that i come here for a proper  ,threat,1
 good morning today we are talking about romance languages any news you want to share there's still no signs of first contact the objects measure at least 1500 feet tall dr banks i'm colonel gt webber i have something i need you to translate for me [Applause] is that everyone is able to process experiences like this when's the last time you did something stressful does now count we need answers as soon as possible what do they want where are they from  how many we're one of 12. we're a world  ,not_threat,0
with no single leader it's impossible to deal with just one of us we need to go back in well i guess i don't need to tell you you're putting yourself at risk that's a proper introduction to everything that happens it comes down to the two of us i know what it is what does this say offer weapon i don't need an interpreter to know what this means we don't know if they understand the difference between a weapon and a tool china just threatened to destroy their shells whatever they do france and korea will follow we could be facing global war we need to talk to the other and work together for once we have 15 hours before this all goes to  ,threat,1
hell i know why they're here what the hell is she doing do trust me  come on peter that's your suit it's heartening to see so many strange new faces here today i know my mom would be very touched and probably a little suspicious my mother was a very secretive and private woman it's grandma you know you were her favorite right even when you're a little baby she wouldn't let me feed you because she needed to feed you she was a very difficult woman which maybe explains me i recognize you from your mother what  ,not_threat,0
